SampleID	AnimalID	Park	sex	year	date	season	d13C	d15N	age	derived age	Latitude	Longitude	CubNo	CubAge	GrossBodyMasslbs	MetaBodyMass75kg	BIA	Body Fat (%)	NetBodyMasskgs	Lean Mass (kg)	Fat Mass (kg)	proportion_plant	proportion_salmon	proportion_terrestrial	percent_meat_combined
G14006	G14006	GAAR	M	2016	6/2/2016	Spring			8	8	67.5851	152.9634	0		175	25.95660266	99	13.53003645	76.85352622	87.25183633	10.39831011				
G14011	G140011	GAAR	F	2016	6/3/2016	Spring			10-12	11	67.2333	154.7942	0		193	27.9917174	107	6.950936552	84.99095841	79.08329081	5.907667594				
G14016	G14016	GAAR	F	2016	6/3/2016	Spring	-18.23	13.99	7-9	8	67.1051	155.2359	0		NA	NA	NA	NA	NA	NA	NA				
G14020	G14020	GAAR	F	2016	5/31/2016	Spring	-19.27	11.29	7-9	8	67.127784	155.53307	0		222	31.1713749	114	12.68315577	98.10126582	85.65892947	12.44233635	0.293	0.675	0.032	0.707
G14021	G14021	GAAR	F	2016	6/3/2016	Spring	-20.94	8.54	19-20	19.5	66.9855	153.8775	0		NA	NA	NA	NA	NA	NA	NA				
G14024	G14024	GAAR	F	2016	5/31/2016	Spring	-23.22	1.81	12-15	13.5	67.1866	154.1909	0		NA	NA	NA	NA	NA	NA	NA				
G14026	G14026	GAAR	F	2016	6/2/2016	Spring	-19.28	11.44	10-13	11.5	67.1749	153.0556	0		197	28.43721618	114	4.672889591	86.79927667	82.74324231	4.056034364	0.279	0.689	0.032	0.721
G14030	G14030	GAAR	F	2016	5/31/2016	Spring	-18.38	12.27	11-14	12.5	67.08731	154.62123	1	2	215	30.41414619	109	4.154722593	94.93670886	90.99235197	3.944356892	0.207	0.768	0.025	0.793
G14032	G14032	GAAR	F	2016	5/31/2016	Spring	-23.32	2.39	15-17	16	67.21714	155.37804	1	2	180	26.52709511	124	7.531757316	79.11392405	73.15525529	5.958668763	0.837	0.145	0.018	0.163
G15001	G15001	GAAR	M	2016	5/31/2016	Spring	-17.69	14.68	7-9	8	67.03691	155.48445			298	39.04468049	84	3	132.4593128	129.9926535	2.466659313	0.059	0.931	0.01	0.941
G15003	G15003	GAAR	F	2016	6/3/2016	Spring	-22.89	1.87	7-9	8	67.2257	155.497	0		181	26.64070165	108	3	79.56600362	78.52323761	1.042766004	0.837	0.143	0.02	0.163
G15006	G15006	GAAR	M	2016	6/2/2016	Spring	-22.89	2.96	12-13	12.5	67.7625	152.8524	0		186	27.206338	138	11.1597485	81.82640145	72.69478084	9.131620604	0.724	0.249	0.027	0.276
G15009	G15009	GAAR	F	2016	5/31/2016	Spring	-22.29	5.4	7-9	8	67.12049	153.91489	0	0	202	28.99084191	110	8.701158357	89.0596745	81.31045119	7.749223311	0.814	0.166	0.021	0.187
G16001	G16001	GAAR	F	2016	5/30/2016	Spring	-22.66	2.71	18-22	20	67.63757	152.22125	1	2	215	30.41414619	122	17.15407449	94.93670886	78.6511951	16.28551376	0.819	0.161	0.02	0.181
G16003	G16003	GAAR	F	2016	5/30/2016	Spring	-22.81	3.58	9-11	10	67.52193	152.875	0		205	29.32132926	121	13.83921827	90.4159132	77.90305762	12.51285558	0.799	0.18	0.021	0.201
G16004	G16004	GAAR	M	2016	5/30/2016	Spring	-22.98	2.78	Adult	Adult					NA	NA	NA	NA	NA	NA	NA				
G16005	G16005	GAAR	M	2016	6/2/2016	Spring	-18.3	13.62	9-11	10	67.1749	153.0556	0		300	39.24439787	84	3	133.363472	131.2205752	2.142896805	0.111	0.873	0.016	0.889
G16006	G16006	GAAR	M	2016	6/3/2016	Spring	-18.45	12.94	14-16	15	66.9855	153.8775	0		NA	NA	NA	NA	NA	NA	NA				
G16007	G16007	GAAR	M	2016	6/4/2016	Spring	-23.18	3.15	25	25	67.4555	152.9063			NA	NA	NA	NA	NA	NA	NA				
G16008	G16008	GAAR	F	2016	6/4/2016	Spring	-22.99	4.39	10-12	11	67.1128	153.7609	1	3	228	31.8155771	108	15.33195471	100.8137432	85.35702577	15.45671745	0.776	0.202	0.022	0.224
G16009	G16009	GAAR	M	2016	6/4/2016	Spring	-17.45	14.31	11-13	12	67.1074	153.7851			553	62.44484284	89	33.73521157	247.7396022	164.1641232	83.57547893	0.07	0.919	0.011	0.93
L401	L401	LACL	F	2016	7/9/2016	Summer			16-18	17	59.8146	155.75427	0	0	361	45.18545466	72	9.355107416	160.9403255	145.8841852	15.05614033				
L405	L405	LACL	F	2016	5/24/2016	Spring	-22.57	3.89	11-13	12	60.6091	154.0997	1	3	222	31.1713749	103	13.81686031	98.10126582	84.54675096	13.55451486				
L412	L412	LACL	F	2016	7/10/2016	Summer			8-10	9	59.8441	154.4184	0	0	273	36.51844307	88	10.54226073	121.1573237	108.3846027	12.77272096				
